#key	synopsis
1943 Kai (Japan)	1943 Kai est un shoot'em up sorti sur arcade et adapté ensuite sur PC Engine. Il s'agit d'un shoot'em up vertical jouable à deux. Pour ce qui est du gameplay c'est du classique, on shoot et on évite de se faire descendre. Les bonus apparaissent à l'écran sous forme de « POW » et à chaque fois que vous tirez dessus ils changent.
21 Emon - Mezase! Hotel Ou (Japan)	Au XXIeme siècle, alors que l'humanité a atteint un niveau technologique avancée et voyage dans l'espace, Emon est propriétaire d'un hôtel qui n'a pas changé depuis plus de 200 ans ! Aussi, plus personne n'y vient et devant cet état de fait, des amis, propriétaires d'un luxeux hotel de l'espace vont convier notre héros a y séjourner quelques temps. Ce qui va lui donner quelques idées pour moderniser ses affaires et attirer des clients particuliers : les extra-terrestres... Adapté du manga éponyme de Fujiko Fujio (l'auteur du célébre Doraemon et de Ninja Hattori Kun entre autre) et de la série TV qui en découle, 21emon est un jeu de stratégie original qui vous met dans la peau d'un gestionnaire d'hotel un peu particulier.
Aero Blasters (USA)	Le joueur contrôle un vaisseau et élimine tous les ennemis qui se présentent devant lui. A la fin de chaque niveau, un boss apparaît et laisse peu de place à l'erreur. Évitez les obstacles avec soin pour espérer en sortir vivant où jouer en coopération avec un ami pour une expérience accrue.
After Burner II (Japan) (En)	After Burner II est un jeu d'action sur Turbografx. Le jeu vous met aux commandes d'un puissant F-14 Tomcat afin d'abattre tous vos ennemis lors des différentes missions. Plusieurs armes sont à votre disposition : une mitraillette Vulcan Fire ainsi qu'un nombre limité de missiles.
Air Zonk (USA)	Air Zonk sur TurboGrafx est un shoot'em up dans lequel vous devez éliminer vos adversaires grâce à vos tirs et une armada de bombes. Abattez chaque boss de fin de niveau pour libérer un des amis d'Air Zonk qui, une fois avec vous, pourront lancer de super attaques notamment s'ils sont combinés. Abattez les fleurs d'une certaine couleur pour ramasser des bonus qui font que vous serez plus puissant et gagnerez ainsi plus de points.
Alien Crush (USA)	Alien Crush est un jeu de flipper sur Turbografx. Le titre s'inspire grandement du thème de la science-fiction et des aliens qui viennent en permanence vous mettre des bâtons dans les roues afin de vous faire perdre la boule.
All Star Power League (Japan)	Contrairement aux jeux de base-ball moderne, « World Class Baseball » n'inclut pas de stats de la saison ou les équipes des ligues majeures de Baseball ou les joueurs ; au lieu de cela, il dispose d'équipes telles que les pommes de New York et les Ninjas de Tokyo et les joueurs nommés brique et Fuka. En frappant, le jeu se joue du point de vue de la norme catcher, mais il passe à une vue d'oiseau lorsque la balle est frappée. Ce qui rend ce jeu spécial est l'intelligence artificielle, qui est forte et s'ajuste afin qu'il vous défie toujours.
Andre Panza Kick Boxing (USA)	Dans André Panza Kick Boxing, devenez le meilleur combattant de la discipline. Après avoir choisi votre représentant parmi plusieurs personnages issus de pays différents et possédant des caractéristiques propres, vous devez l'entraîner afin d'être prêt pour les combats. Il faut bien faire attention à ne pas perdre un match, car à chaque défaite, les caractéristiques du boxeur chutent.
Aoi Blink (Japan)	Vous avez trois personnages et vous pouvez choisir entre eux, certains ont la capacité de sauter très haut, tandis que d'autres ont un meilleur tir ... Le jeu est divisé en différentes zones que vous rejoignez grâce à la carte principale. Aoi Blink (ou &quot;Blue Blink&quot;) est un jeu de plateforme mignon qui parvient à trouver sa place parmi la multitude de Beat em all sur PCE, tres joli visuellement et agréable a jouer. C'est aussi parait il un celebre Manga au pays du soleil levant.
Appare! Gateball (Japan)	Appareil Gateball est un jeu de croquet. L'objet du jeu est de frapper la balle à travers de petites portes sur le sol dans un certain ordre et en moins de coups possible. Pour frapper la balle le tir doit d'abord être aligné. puis la puissance du tir doit également être réglée. Pour régler la puissance, le joueur doit arrêter un curseur qui se déplace de gauche à droite en continu.
Armed F (Japan) (En)	Armed Formation F est un jeu directement adapté de la borne d'arcade par Big Don et c'est vrai que dés les premières minutes de jeu, on reconnaît le &quot;Nichibutsu style&quot;: rythme de jeu assez lent, sprites de petites tailles mais nombreux, beaucoup de phase de pilotage, possibilité de mettre ses modules en formation. L'adaptation est correcte mais graphiquement, le jeu a beaucoup perdu: exit les couleurs pastels, on a ici quelque chose de plus brut.
Artist Tool (Japan)	Logiciel de création de dessins. Cette Hucard permet de se servir des accessoires dédiés comme l'Illust Booster, le Print Booster et le Photo Reader.
Atomic Robo-Kid Special (Japan) (En)	Atomic Robokid Special sur Nec propose une version revue est corrigée de cette imparfaite version originale. Si le hit point reste toujours aussi énorme, les développeurs ont cette fois intégré une barre de vie, qui permet de se faire toucher pas mal de fois avant de perdre une vie. Et rien que ça, ça change tout ! Les niveaux ont également un peu changé, ils sont maintenant plus découpés. On en compte une vingtaine. Le but alterne entre trouver la porte de sortie (sans forcément battre tous les ennemis, un comble !), ou se confronter à un bon gros boss qui prend bien de la place à l'écran.
Ballistix (USA)	Ballistix est un jeu de sport futuriste mettant en scène deux joueurs armés de fusils lançant des billes. Le but et d’'envoyer une bille noir dans le but adversaire à l’aide de votre fusil à bille.
Bari Bari Densetsu (Japan)	C'est à l'origine un manga de 38 volumes crée en 1983 par Shuichi Shigeno qui imaginait par la suite le manga &quot;Initial D&quot;. L'histoire est celle de Gun Koma et de ses amis prenants toujours plus de risques sur la route en moto. Deux modes de jeu, le &quot;Travel Mode&quot; ou bien le WGP &quot;World Grand Prix&quot;. Dans le premier mode vous vous entrainez et avez le choix entres 16 circuits. Dans le second c'est la compétition et vous devez vous qualifiez parmi les 7 premiers pour espérer faire la course... il y a aussi un système de password, ce qui vous permet de reprendre ou vous en étiez. Les motos peuvent être &quot;customisées&quot; suivants les conditions atmosphériques, le type de circuit, et tous les éléments du moteurs peuvent être changés comme les suspensions, freins ...
Barunba (Japan)	Barunba est le jeu à avoir dans sa catégorie. Shoot'em up multidirectionnel, il vous emmènera dans des mondes très variés. Sa jouabilité est exemplaire. Grace au bouton select vous avez la possibilité de choisir vos armes qui se boost indépendemment l'une de l'autre suivant les bonus que vous récoltez.
Batman (Japan) (En)	Batman sur Turbografx est un jeu d'action/plates-formes s'inspirant du film Batman sorti en 1989. Six niveaux sont disponibles (dont deux avec des phases de tir), parmi lesquels Gotham City, le Musée Flugelheim ou encore la Cathédrale. Battez-vous et utilisez les nombreux gadgets de Batman pour vous hisser jusqu'au Joker et lui faire mordre la poussière.
Battle Lode Runner (Japan) (En)	Le titre d'action/réflexion Battle Lode Runner sur Turbografx-16 reprend le même principe que le premier jeu en ajoutant une option multijoueur pour que 5 joueurs puissent s'amuser en même temps. Chacun tente alors de récupérer le plus d'or possible tout en évitant les ennemis qui rôdent.
Battle Royale (USA)	Un jeu de catch avec des matchs de type &quot;last-man-standing&quot; jusqua'a 5 joueurs. Le jeu comporte trois niveaux de difficulté, cinq lutteurs à choisir, et deux modes de jeu. Pour les joueurs solo, seul le mode tournoi, avec 15 consécutifs est possible, commençant par un un contre un et continuant jusqu'à un match complet de cinq hommes. Dans le deuxième mode, le nombre de concurrents peut être librement défini pour un seul match.
Benkei Gaiden (Japan)	Benkei Gaiden est un RPG de style japonais traditionnel, placé dans un environnement qui rappelle le Japon de l'époque féodale, avec des éléments surnaturels tels que des monstres etc.Les textes sont en Japonnais.
Bikkuriman World (Japan)	Bikkuriman World sur PC Engine est un jeu d'action/plates-formes dans lequel vous incarnez Wonder Boy dont la tâche principale est d'éliminer le dragon Meka qui terrorise les habitants de Monster Land. Ce jeu introduit la notion de pièces d'or qui peuvent être ramassées sur les monstres. Ces dernières vous permettront d'acheter de l'équipement aux marchands, rendant votre personnage plus efficace.
