#key	synopsis
1552 Tenka Tairan (Japan)	Jogo de estratégia que se passa no Japão do século 16. Assuma o papel de um lorde em épocas diferentes da história japonesa e expanda seu território gerenciando pessoas e exércitos. Compatível com mouse.
A.III. - A Ressha de Ikou III (Japan)	Assuma o papel do chefe de uma companhia ferroviária, com o objetivo de criar um império ferroviário, fornecendo um sistema de transporte público de sucesso que servirá de inspiração para o resto do mundo. À medida que sua rede se desenvolve, a cidade ao seu redor cresce e prospera. Gerencie linhas de carga e passageiros para transportar pessoas e recursos por todo o seu domínio.
Advanced V.G. (Japan)	Advance Variable Geo (ou Advanced V.G para abreviar) é um jogo de luta composto apenas por lutadores! Você pode escolher entre 9 garotas: Yuka Takeuchi, uma garçonete e heroína do jogo, Chiho Masuda, uma garota Ninja, Manami Kusunoki, uma garota estranha e fofa com luvas de gato, Jun Kubota, Satomi Yajima, Ayako Yuki, Elirin, Kaori Yanase e Reimi Jahana. 3 os modos de jogo estão dentro do cronograma: modo normal, modo VS e modo história. A história do jogo é bastante incomum: garçonetes de restaurantes diferentes competem nos principais torneios usando super ataques poderosos e técnicas especiais de luta. Por favor, note que apenas Yuka pode ser jogado no modo história!
Akumajou Dracula X - Chi no Rondo (Japan)	Sombrio, desafiador, com trilha sonora incrivelmente bela e lindos gráficos, Castlevania: Rondo of Blood fez história no PC-Engine, apresentando umas das melhores, se não a melhor, aventura da saga antes da liberdade de exploração vista em Symphony of the Night.
Alshark (Japan)	Um jovem chamado Sion Asmarn vive na cidade de Cosma, no planeta Homu, com o seu pai, um famoso explorador. Um dia, um enorme meteorito cai no planeta. O pai de Sion parte para investigar com o físico Mamon Penrose. Sion e a sua namorada Shoko, filha de Mamon, aventuram-se no desfiladeiro onde o meteorito caiu, apenas para ver Mamon, aparentemente possuído por uma força misteriosa, matar o pai de Sion e fugir. Determinados a chegar ao fundo deste terrível caso, os dois jovens embarcam numa viagem que os levará a diferentes cantos do universo.
Baby Jo - The Super Hero (Japan)	O Baby Jo é um jogo de plataforma de rolagem lateral. Jo pode apanhar guizos que podem ser atirados aos inimigos (tais como abelhas, cortadores de relva ou aranhas). Para além de ver a saúde do bebé diminuir (representada por um rosto cada vez mais aguado), a fralda do bebé torna-se mais húmida com o tempo e a sede também aumenta. Se a fralda ficar demasiado molhada ou o bebé ficar demasiado sedento, o jogador perde imediatamente uma vida. Por conseguinte, é importante pegar em biberões e fraldas limpos.
Bomberman - Panic Bomber (Japan) (FAAT)	O Panic Bomber faz lembrar um pouco os jogos Puyo Puyo: em vez de blocos abstractos ao estilo de Tetris, caem pequenas cabeças coloridas que têm de ser organizadas em filas de três (vertical ou horizontalmente), rodando-as e fazendo-as coincidir com outras cabeças da mesma cor. O Bomberman avança automaticamente através de um &quot;mapa-mundo&quot;, vencendo os adversários em concursos de queda linear de blocos.
Bonanza Bros. (Japan)	Mobo e Robo Bonanza estão a ver o seu programa de televisão preferido quando a imagem começa a estalar e a sombra de um estranho misterioso aparece no ecrã. Este personagem pede-lhes que recolham certos objectos que colocou dentro de vários edifícios para testar a sua segurança. Se devolverem os objectos com sucesso, Mobo e Robo são recompensados. Ambos declaram que farão o trabalho em apenas três minutos. No entanto, pouco sabem eles que cada edifício está cheio de guardas de segurança que irão fazer soar o alarme se forem apanhados. Por isso, é necessário recolher todos os tesouros antes de deixar os edifícios e disparar contra os seguranças que se metam no seu caminho. Não se esqueça que tem um limite de tempo. Um mapa do jogo irá ajudá-lo a localizar os tesouros.
Bonk III - Bonk's Big Adventure (USA)	Bonk está de volta! E ele é maior e melhor do que nunca! Use a sua cabeça (literalmente) para atravessar 6 lugares selvagens, incluindo um bosque, uma prisão de gelo na Antárctida e muito mais! Coma doces milagrosos azuis para crescer até proporções gigantescas e quebrar enormes obstáculos. Mastigue rebuçados vermelhos para encolher ao tamanho microscópico e coloque-os debaixo de fendas para descobrir artigos secretos! Capture a flor mágica em cada etapa para ser transportada para uma ronda de bónus, onde poderá marcar mais pontos e ganhar homens de bónus! No seu caminho, derrotará chefes ameaçadores que incluem dinossauros acrobáticos, uma lula sorrateira e outros! Estás pronto para salvar o mundo, pequeno amigo das cavernas!?
Burai II - Yami Koutei no Gyakushuu (Japan)	Nesta sequência direta de Burai, você controla novamente os oito heróis — cada um de uma raça, cultura e lugar diferentes. Entre eles, um destemido guerreiro da nação dos répteis, uma feiticeira humana, um irmão e uma irmã de uma tribo de criaturas inteligentes semelhantes a cães, um deus dragão prateado e outros. Você vivencia as histórias pessoais dos heróis, bem como sua luta conjunta. Você move os personagens no mapa-múndi com visão de cima para baixo, visitando cidades e masmorras, e lutando contra inimigos que aparecem aleatoriamente em combates por turnos, tudo em primeira pessoa.
Buster Bros. (USA)	O jogador controla uma personagem que está confinada a um tabuleiro do tamanho de um ecrã no qual saltam bolas gigantes que ameaçam a personagem. O personagem só pode mover-se para a esquerda e para a direita e lançar ganchos para cima em ângulos rectos para rebentar as bolas. Quando uma bola grande é atingida, divide-se em duas outras bolas de tamanho intermédio, que por sua vez se dividem em duas bolas mais pequenas, que podem ser destruídas definitivamente. Quanto mais pequena for a bola, mais pequeno é o ressalto e mais apertado é o tempo para passar por baixo da bola. O objectivo do jogo é destruir as bolas antes do fim do tempo sem ser atingido.
CAL II (Japan)	És Wataru Ishibashi, um estudante do ensino secundário no Japão moderno. Até há pouco tempo, levavas uma vida normal, desfrutando da tua relação com a tua adorável namorada Mika. Mas, pouco antes da cerimónia de graduação, tiveste uma estranha visão que, a princípio, pensaste ser um sonho. Mas quando Vénus, a deusa do amor, te contacta, percebes que Mika foi raptada por Aeon, a deusa do tempo, e transferida para o reino do tempo. Agora tens de viajar até ao lendário mundo dos sonhos das belas deusas e trazer a Mika de volta. Cal II é um jogo de aventura ao estilo japonês com elementos de romance visual. O jogador lê o texto e pode, por vezes, escolher entre diferentes acções. Além disso, existe um &quot;mapa-mundo&quot; no qual navega a sua personagem numa vista de cima para baixo, visitando diferentes locais pela ordem que preferir.
CAL III - Kanketsu-hen (Japan)	Passaram dois anos desde que Wataru Ishibashi, um vulgar estudante do liceu no Japão moderno, visitou o mundo mágico das belas deusas e resgatou a sua namorada Mika. Finalmente, parece que ele pode passar algum tempo em paz com a sua amada. Mas um dia, a sua velha amiga Ches, uma bonita fada felina, aparece no seu quarto e convoca-o para o mundo dos deuses. Parece que Vénus, a deusa do amor, está em apuros devido a acontecimentos imprevistos que levaram à eclosão da Guerra de Tróia. Wataru está prestes a começar uma nova aventura no mundo dos deuses e das culturas antigas. Cal III é um jogo de aventura ao estilo japonês com características de romance visual. O jogador interage com as personagens e tem várias opções de diálogo e de acção à escolha. Não existe qualquer outra interacção com o ambiente e a progressão é estritamente linear.
CD Denjin - Rockabilly Tengoku (Japan)	Após o sucesso de PC Denjin, nosso herói salta para o CD com um jogo e uma trilha sonora totalmente novos. Voando sobre diversas paisagens (você escolhe a ordem em que joga as quatro primeiras fases), você enfrenta tsunamis, robôs gigantes e uma variedade de vilões desagradáveis, porém adoráveis, como era de se esperar. As plantas dos jogos originais de PC Kid ainda estão presentes, proporcionando alegrias como poder de fogo extra, fontes de carinhas sorridentes ou o pequeno Denjin, que facilita um pouco desviar de balas. Outro truque útil é que suas botas também causam dano, então recuar em direção a um inimigo tem mais chances de eliminá-lo do que de causar dano permanente a você. Em determinado momento de cada fase, você tem a chance de resgatar um amigo que se junta a você, concedendo uma habilidade extra específica. Esses amigos são predefinidos, um por fase, e não podem ser escolhidos. Eles permitem coisas como tiros rápidos de sushi e tiros pelas costas.
Chiki Chiki Boys (Japan)	Este jogo de acção/plataforma tem lugar no país de Alurea. A vida idílica do povo de Alurea é destruída quando o rei é morto por um dragão e uma série de vilões habitam a terra. Felizmente, os seus filhos gémeos vêm em socorro e é preciso assumir o controlo de um ou do outro para restaurar o mundo. Os rapazes têm capacidades diferentes: um é melhor no combate à espada (com o qual se está sempre armado), o outro na magia (disponível em quantidades limitadas em cada nível). Recolhem-se moedas enquanto se joga e gastam-nas na loja para obter magia extra, vidas extra e espadas melhoradas.
Chou Aniki (Japan) (FAAT, FACT)	Em Cho Aniki - Super Big Brothers os jogadores controlam os Idaten ou os Benten, guerreiros celestiais para pôr fim à regra tirânica do imperador do Planet Builder, que possui a destreza muscular para ser a virtude suprema do universo. Com a ajuda das poderosas opções de cabeça de músculo Adão e Sansão, devem lutar para derrotar o exército do imperador em cinco fases - use os botões para disparar e deitar-se com as forças do construtor! Melhore o seu carácter e as suas opções com proteínas de inimigos derrotados para os fazer &quot;balançar&quot; com um grito e levar a sua batalha machista para o nível seguinte!
Chou Jikuu Yousai Macross 2036 (Japan)	Macross 2036 é um shooter vertical, que se passa no universo dos animes animados de Macross. O Jogador controla um dos personagens da série, a piloto Mylene Jenius, que pilota a espaçonave Veritech, lutando contra naves e soldados robôs da raça alienígena Zentradi. A espaçonave controlada pelo Jogador é equipada com uma arma Vulcan (que pode ser melhorada com &quot;power-ups&quot;) e bombas que são lançadas simultaneamente. Outro botão controla uma arma especial, a qual o Jogador pode comprar, entre um estágio e o seguinte, com pontos (ganhos ao derrotar inimigos).
Daisenryaku II - Campaign Version (Japan)	Daisenryaku II: Campaign Version é um jogo de estratégia de guerra por turnos que utiliza a mesma mecânica de Daisenryaku II: até quatro jogadores se enfrentam em batalhas contra outros jogadores ou contra a IA do computador, representados por exércitos de cores diferentes (azul, vermelho, verde e amarelo); os beligerantes produzem unidades e veículos e os movimentam em um tabuleiro hexagonal, tentando ocupar as principais cidades e portos inimigos. O jogo inclui uma campanha principal com introdução e informações de contexto sobre os países fictícios envolvidos no conflito. Além disso, pelo menos uma dúzia de mapas jogáveis ​​estão incluídos, alguns representando áreas geográficas reais. As versões em CD para MSX e PC Engine (TurboGrafx) apresentam gráficos aprimorados, sequências de batalha em tela cheia com cenários e muitos mapas adicionais.
De-Ja (Japan)	DE-JA é um remake do jogo de computador com o mesmo nome, uma aventura de detective/mistério ao estilo japonês com cenas para adultos. O remake apresenta gráficos superiores. Alguns locais e personagens foram redesenhados a partir do zero. Foi acrescentada dobragem ao diálogo. Algumas cutscenes foram adicionadas ou modificadas para incluir sequências animadas.
Death Bringer - The Knight of Darkness (Japan)	A terra de Mezron está em tumulto. O malvado feiticeiro Azazael foi ressuscitado e está agora em busca de cinco pedras preciosas que lhe darão o poder máximo. É um aventureiro numa missão para deter o feiticeiro. No seu caminho terá de enfrentar medusas, cultos de sacerdotisas maléficas e muitos inimigos mortos-vivos. O jogo oferece uma visão 3D do mundo, que pode ser explorada passo a passo como em muitos RPGs da época, por exemplo Bard's Tale ou Dungeon Master.
Doukyuusei (Japan) (Rev 3)	Em Doukyuusei, o jogador assume o papel de um estudante numa cidade japonesa. Os seus pais acabaram de se mudar para uma grande mansão num bom bairro. O rapaz tem de ir para a sua nova escola, mas a sua mente está preocupada com apenas uma disciplina: raparigas bonitas. Em vez de estudar muito, Takurou decide explorar a cidade e aprender mais sobre os seus habitantes. Doukyuusei é mais interactivo do que a maioria dos outros jogos de aventura japoneses, utilizando a interface de apontar e clicar (com ícones contextuais para falar, tocar, etc.) e oferecendo uma navegação livre para cima e para baixo através da cidade e do edifício da escola. O herói pode entrar em restaurantes, lojas, cafés e muito mais. Também é possível apanhar um comboio para outra parte da cidade para explorar.
Dragon Knight III (Japan)	Esta versão do Dragon Knight III é baseada na versão anterior para computador. Embora mantenha a história, o estilo gráfico e a disposição básica dos locais, esta versão tem algumas diferenças substanciais em termos de jogabilidade. As batalhas não se desenrolam em tempo real, mas em modo por turnos, e utilizam uma perspetiva diferente; os inimigos encontrados aleatoriamente são combatidos numa perspetiva de primeira pessoa, num estilo RPG japonês tradicional semelhante ao de Dragon Quest. O design dos inimigos também é muito diferente, com muitos dos monstros da versão original substituídos por personagens femininas. Os gráficos das áreas de visão superior foram ligeiramente melhorados. Esta versão também censura o conteúdo para adultos. As cenas continuam a ser sugestivas, mas já não há nudez explícita. Algumas das cenas foram completamente redesenhadas, eliminando mesmo a atividade sexual implícita.
Dungeon Master - Theron's Quest (USA)	Feras terrivelmente brutais! Labirintos monstruosos! Poços traiçoeiros de maldade! A aventura de uma vida começa aqui... A Busca de Theron!! O Monastério de Ya-Brodin caiu nas mãos do Culto da Morte e a Irmandade da Iluminação, os verdadeiros guardiões da Magia, foram massacrados. Os Sete Grandes Tesouros agora estão nas mãos de seres malignos que não hesitarão em usar qualquer meio para manter seus imensos poderes. Mas Theron, com uma coragem inabalável, decidiu enfrentar o Culto da Morte e recuperar os Tesouros. Se for bem-sucedido, se tornará um Alto Lorde. Caso contrário, a terra mergulhará em trevas eternas.
Efera & Jiliora - The Emblem from Darkness (Japan)	Baseado no anime Gude Crest, a história é estrelada por duas mercenárias, Efera e Jiliora. Depois de escaparem de um navio negreiro, elas entram em posse de um poderoso brasão, tomado do benevolente príncipe e princesa, que foram sequestrados por um culto maligno que venera uma antiga e poderosa divindade. As duas jovens devem encontrar uma maneira de salvar os filhos reais e derrotar os adoradores malignos, atravessando áreas hostis e lutando contra inimigos para ganhar experiência e dinheiro, que podem ser gastos posteriormente nas cidades para adquirir equipamentos e itens melhores. O jogador pode escolher jogar como Efera ou Jiliora; também há um modo para dois jogadores no qual é possível controlar ambas. Efera é a lutadora mais fraca, mas pode usar feitiços de cura e ofensivos, que aprende à medida que sobe de nível. Jiliora é mais forte, mas incapaz de lançar magia; conforme avança de nível, ela obtém anéis que podem aumentar o poder de sua espada, curar uma quantidade de seus PV e até mesmo torná-la invencível por um tempo.
Emerald Dragon (Japan)	Em &quot;Emerald Dragon&quot;, você joga como Atrushan, um dragão azul que vive no Dragon World. Um dia, ele e seus amigos descobrem um naufrágio perto de uma montanha. Depois de examinar os destroços, os dragões encontram uma criança humana - uma garotinha. O sábio Dragão Branco, o líder dos dragões, diz a eles que o nome dela é Tamryn e que ela terá um papel importante em suas vidas. A menina não se lembra de nada e cresce junto com os dragões. Mas quando ela faz quinze anos, ela decide voltar para sua terra natal - o Mundo Humano. Logo após a partida de Tamryn, Atrushan percebe que não suporta a separação e pede ao Dragão Branco que permita que ele vá e encontre Tamryn no Mundo Humano. Mas uma misteriosa maldição maligna foi lançada sobre os dragões - eles não podem aparecer entre os humanos em sua verdadeira forma. Atrushan concorda em se tornar um humano e vai para o Mundo Humano - para encontrar Tamryn, e também uma forma de remover a maldição...
Exile (USA)	Depois de derrotar o Califa, Sadler regressa à sua aldeia natal, saudado pelos seus companheiros assassinos. Um espião dos Cruzados foi visto nos arredores da aldeia e, seguindo o seu rasto, Sadler conhece o poderoso líder dos Templários. Viajando juntos para diferentes países do mundo, tentam encontrar um misterioso artefacto sagrado que poderá pôr fim às guerras religiosas. O jogo passa-se numa versão fictícia do Médio Oriente e de outras partes do mundo no século XIII. O movimento e a exploração têm lugar na tradicional vista aérea do RPG, enquanto o combate e as masmorras são labirintos de deslocação lateral. Os pontos de experiência são atribuídos ao derrotar inimigos. A subida de nível aumenta automaticamente os atributos de Sadler. Sadler luta com espadas e também pode lançar feitiços ofensivos e curativos. As armas, armaduras e objectos podem ser comprados e vendidos nas cidades.
Exile - Toki no Hasama e (Japan)	Depois de derrotar o Califa, Sadler regressa à sua aldeia natal, saudado pelos seus companheiros assassinos. Um espião dos Cruzados foi visto nos arredores da aldeia e, seguindo o seu rasto, Sadler conhece o poderoso líder dos Templários. Viajando juntos para diferentes países do mundo, tentam encontrar um misterioso artefacto sagrado que poderá pôr fim às guerras religiosas. O jogo passa-se numa versão fictícia do Médio Oriente e de outras partes do mundo no século XIII. O movimento e a exploração têm lugar na tradicional vista aérea do RPG, enquanto o combate e as masmorras são labirintos de deslocação lateral. Os pontos de experiência são atribuídos ao derrotar inimigos. A subida de nível aumenta automaticamente os atributos de Sadler. Sadler luta com espadas e também pode lançar feitiços ofensivos e curativos. As armas, armaduras e objectos podem ser comprados e vendidos nas cidades.
Fighting Street (USA)	Dentro de ti há um guerreiro. Deixa-o exprimir-se! E testa-o contra campeões de artes marciais de 5 nações. Cerra os dentes, flexiona os músculos e enfrenta o Retsu e o Geki do Japão. Eles são adversários formidáveis! Mas tem cuidado com os mais duros - Adon e Sagat, um casal tailandês. Mike e Joe (EUA), Birdi e Eagle (Reino Unido), Lee e Gen (China) têm os seus próprios truques. Sê rápido e forte, ou desaparece!
Forgotten Worlds (USA) (En,Ja)	Nosso planeta era bonito, com cidades maravilhosas e campos deslumbrantes. Isto até o ataque dos Aliens! Com fogo, bombas e napalm eles devastaram o mundo! Fizeram de nosso planeta algo tão abominável que ele passou a ser marginalizado pelo resto do Universo - o mundo esquecido (Forgotten World). Mas você decidiu que isto não pode continuar. Você é um super guerreiro dotado de incrível força e energia, que tomou como sua a tarefa de recuperar o planeta para seus verdadeiros donos: os homens. Não será fácil, pois você terá que enfrentar os punhos do Homem de Ferro, escapar da baforada de fogo do Dragão do Lixo e superar outros seres igualmente assustadores. Para tanto serão sete níveis diferentes até o confronto com o rei dos alienígenas: o Tirano da Guerra. Você deve recuperar o domínio do planeta e devolver seu verdadeiro nome: terra! Está preparado?
Gain Ground SX (Japan)	Gain Ground é uma mistura de acção e defesa da torre com um pouco de reflexão. O objectivo é levar todos os soldados para o outro lado do ecrã ou matar todos os inimigos. Cada soldado do exército tem uma especialidade, entre 20 tipos. Cada soldado pode atacar de duas maneiras diferentes, usando uma arma normal ou especial. A estratégia consiste em decidir que soldado seria mais eficaz em cada situação. Algumas armas são mais eficazes do que outras para lidar com certos inimigos e obstáculos. Os jogadores começam com apenas três soldados, mas podem encontrar outros soldados a resgatá-los. Se o novo soldado sobreviver tempo suficiente para chegar à saída, ele pode ser acrescentado ao inventário do jogador. O número de soldados possíveis no exército de um jogador é superior a 30 soldados. Existem 50 níveis no total, divididos em rondas de 10. No final de cada ronda, os jogadores enfrentam um chefe inimigo.
Golden Axe (Japan)	Golden Axe é um arcade beat-'em-up game que coloca os jogadores no lugar de um dos três heróis, cada um com sua própria razão para tentar derrubar o domínio do mal-Death Adder, que - junto com suas forças da escuridão - sequestrou e aprisionou o rei e sua filha e roubou o lendário Golden Axe. Este é um jogo de luta horizontal, onde você basicamente pega um dos três personagens (o bárbaro Ax Battler, um anão chamado Gilius Thunderhead ou o amazon Tyris Flare) e bate tudo o que fica entre você e o próprio Death Adder. Cada personagem tem uma habilidade mágica especial que pode ser carregada chutando pequenas criaturas azuis que dropam uma poção. Há também uma variedade verde fora desta criatura que derruba comida que reabastece sua saúde. Alguns inimigos montam dragões e uma criatura semelhante a um escorpião. Os inimigos podem ser derrubados e você pode montar a criatura e atacar os inimigos com ela.
